date,ORCL,QCOM,MU,INTC,MSFT,JDSU
2001-03-08,13.8967351503,17.4783306089,41.7776517422,18.919934229,18.0200503634,224.96
2001-03-09,13.0073441007,15.8571963638,39.7302055658,16.7519658256,17.2414625334,208.0
2001-03-12,12.0623661104,14.672638761,39.7399553095,15.7903210482,15.7968171456,183.04
2001-03-13,13.4520396255,16.1228059294,42.9476209859,16.7178245909,16.4811228556,195.52
2001-03-14,12.7532323722,15.6648584025,42.4308845699,16.5357380058,16.4233370401,196.48
2001-03-15,11.6653165347,15.9335209516,40.2664414692,16.217086482,16.32905492,193.52
2001-03-16,11.1650340693,15.3595600513,39.047723507,15.8642937234,16.5936531279,179.52
2001-03-19,12.2608908983,17.7653110591,41.9823963599,15.3976968492,16.5176191601,196.96
2001-03-20,11.4191457978,16.4861109674,39.5839594104,14.0149768439,16.0249190489,172.0
2001-03-21,11.7129624838,17.746993158,40.9586732717,14.5441659817,15.2250417079,179.52
2001-03-22,12.3085368474,17.365370219,45.5313030656,16.3252003919,16.4233370401,203.52
2001-03-23,12.6102945249,17.9759669215,47.6079984731,16.3934828613,17.2019248701,185.52
2001-03-26,12.4594156862,17.2890456312,45.6970487085,16.1089725721,17.0498569346,180.48
2001-03-27,13.2217508716,18.2812652727,46.7987697463,16.7178245909,17.7159144923,186.48
2001-03-28,11.9908971868,16.7334026319,43.1426158598,15.3294143798,16.897788999,159.36
2001-03-29,11.530319679,16.6967668298,44.1175902295,15.1131865601,16.8430445422,140.0
2001-03-30,11.8956052886,17.2890456312,40.4906855742,14.9709314155,16.6331907911,147.52
2001-04-02,12.1655990001,15.7228650893,35.3428209021,14.6807309205,16.9738229668,133.52
2001-04-03,10.5218137566,13.9673995696,35.3525706458,14.2255144579,16.2347728,112.48
2001-04-04,10.8473944087,13.3964916528,33.7341131921,12.8769356873,15.7968171456,109.84
2001-04-05,11.7050214923,14.6360029588,37.439015797,14.5839974222,17.2597106856,129.52
2001-04-06,11.006214239,13.6254654162,35.8985562929,13.4459562656,17.0893945978,115.52
2001-04-09,11.1570930778,13.8116974105,34.991830129,13.2012774169,17.3813650341,122.16
2001-04-10,11.8876642971,14.8985595409,37.1952722046,14.0946397249,18.150828788,143.36
2001-04-11,12.3323598219,15.5976927653,40.5589337801,15.6594463152,18.2603177016,155.84
2001-04-12,12.5626485759,16.1930245502,45.2485604984,16.0008586622,18.9111684658,174.32
2001-04-16,12.6738224571,14.7672812499,43.3863594523,14.9652412097,18.4884196049,159.2
2001-04-17,12.8802882364,15.4969443093,41.8653994355,14.8172958593,18.698273356,162.56
2001-04-18,14.2302567939,17.9362781358,46.1162876875,17.7989636897,19.8996100469,186.48
2001-04-19,16.1360947574,20.2504396383,46.7500210278,18.4874785895,20.6934046705,207.2
2001-04-20,15.683458241,19.4871937602,45.3753071665,18.4533373548,20.9853751068,228.24
2001-04-23,13.6188004473,17.7683640426,42.2651389271,17.2527039345,20.7572732034,193.44
2001-04-24,13.4758626,18.1652518993,38.9989747886,16.5812596521,20.5443780937,166.56
2001-04-25,13.6982103624,19.2276901616,41.6119060994,16.5186673885,21.1952288578,162.32
2001-04-26,13.4202756594,17.7225692899,41.4169112254,16.2967493629,21.02491277,145.68
2001-04-27,13.6188004473,17.1882971753,42.9671204733,17.1730410536,20.4135996691,154.08
2001-04-30,12.8326422873,17.5119134276,44.2443368976,17.5884260757,20.6052052679,171.12
2001-05-01,12.7373503892,18.8521731896,42.6843779061,17.7420616319,21.341214076,176.8
2001-05-02,13.6346824303,18.34843091,42.0213953347,18.1745172714,21.2165183688,190.8
2001-05-03,13.0629310413,17.9637549874,40.4419368557,17.3096059923,20.8424312473,172.64
2001-05-04,13.5711544982,18.8033254534,40.753928654,17.5829155606,21.5176128812,177.44
2001-05-07,13.3964526849,18.467497267,41.8264004607,17.7423461422,21.70921848,178.56
2001-05-08,13.5314495406,18.9437626949,40.8416763473,17.924552521,21.9160308724,183.92
2001-05-09,13.5473315236,18.098086262,40.4614363431,17.0419903734,21.4111653263,176.48
2001-05-10,13.0152850922,17.8935363666,39.047723507,16.5181470341,21.2895109779,170.08
2001-05-11,12.626176508,17.6920394548,39.3109665869,15.9088944548,21.1070294552,165.52
